target_finding,variable,coef,std_err,z_stat,p_value,odds_ratio,or_ci_lower_95,or_ci_upper_95,or_format
disc_bulge,Intercept,-6.569502535099665,0.6062488494996306,-10.836313405826376,2.316175405438413e-27,0.0014024949306276919,0.0004274170685428397,0.004602043706729565,0.00 (0.00–0.00)
disc_bulge,C(disc_level)[T.L2-L3],1.4006089734041522,0.2942009558437526,4.7607220356823134,1.9290157849327194e-06,4.05767022785829,2.2795432636771227,7.222801137578948,4.06 (2.28–7.22)
disc_bulge,C(disc_level)[T.L3-L4],2.332625107303637,0.3333620047834764,6.997273455979819,2.609915853724365e-12,10.304957677052226,5.361455988967297,19.806588535718248,10.30 (5.36–19.81)
disc_bulge,C(disc_level)[T.L4-L5],3.7428703774492575,0.3814088711901291,9.813275621435318,9.871116632963614e-23,42.219000876750044,19.991536118689872,89.15993370637652,42.22 (19.99–89.16)
disc_bulge,C(disc_level)[T.L5-S1],2.012016564379955,0.347559212824833,5.788989300634637,7.081120768164708e-09,7.478382792352666,3.7840713519797187,14.77937490784825,7.48 (3.78–14.78)
disc_bulge,age,0.07945395697621253,0.009330798410169787,8.51523669074389,1.6625038596546267e-17,1.0826957077975568,1.0630749364158198,1.1026786123238417,1.08 (1.06–1.10)
disc_bulge,sex,-0.5314312338930761,0.21653600141487747,-2.4542396202969843,0.014118286835250847,0.5877631408667845,0.3844883472774211,0.8985070996503378,0.59 (0.38–0.90)
disc_protrusion,Intercept,-3.1867181167510883,0.6979668114681661,-4.565715825438547,4.977927400250946e-06,0.041307214181510045,0.010517307271427585,0.16223600769681973,0.04 (0.01–0.16)
disc_protrusion,C(disc_level)[T.L2-L3],-0.7089879770095485,0.7221249987827472,-0.981807828567986,0.3261945306793961,0.4921420045455374,0.11951026943316245,2.0266354831837705,0.49 (0.12–2.03)
disc_protrusion,C(disc_level)[T.L3-L4],-0.4160530177594242,0.6619133171708615,-0.6285611831133884,0.5296363795923773,0.6596452966416372,0.1802513308632617,2.414028874558068,0.66 (0.18–2.41)
disc_protrusion,C(disc_level)[T.L4-L5],0.6331001806085692,0.4964798111807701,1.2751780965733068,0.2022462121327394,1.883440543474246,0.7117701453142047,4.98383966250315,1.88 (0.71–4.98)
disc_protrusion,C(disc_level)[T.L5-S1],0.9653563915174932,0.4807147902695402,2.0081686918270414,0.044625368740855965,2.625723275243957,1.0234255701734645,6.736613701169581,2.63 (1.02–6.74)
disc_protrusion,age,-0.006025157929430714,0.012086228673708746,-0.49851430848212236,0.6181215866558188,0.9939929569347077,0.9707229593980471,1.0178207786992943,0.99 (0.97–1.02)
disc_protrusion,sex,0.026851623026076153,0.3405731608798469,0.07884245181477856,0.9371579374567653,1.0272153763463734,0.526938322550511,2.0024571837841143,1.03 (0.53–2.00)
canal_stenosis,Intercept,-8.709022135447768,0.9354710809281213,-9.309771635919702,1.2810748989267577e-20,0.00016508961084646888,2.638947097505768e-05,0.001032782340926747,0.00 (0.00–0.00)
canal_stenosis,C(disc_level)[T.L2-L3],1.5768434490160685,0.43503396152570967,3.624644484044219,0.0002893592185919496,4.839655057204115,2.063032286896979,11.353317745671808,4.84 (2.06–11.35)
canal_stenosis,C(disc_level)[T.L3-L4],2.351029465198242,0.4712929582721512,4.988467202687601,6.086024097768376e-07,10.496369812046114,4.167412197292788,26.436976717302755,10.50 (4.17–26.44)
canal_stenosis,C(disc_level)[T.L4-L5],2.8426405093390654,0.504928519793182,5.6297879757384415,1.804312832169376e-08,17.16101959648142,6.378803946263375,46.16862284399479,17.16 (6.38–46.17)
canal_stenosis,C(disc_level)[T.L5-S1],0.3075983943265822,0.5784893563780623,0.5317269729083075,0.5949151076659829,1.3601546334172494,0.437691592131132,4.226767568914478,1.36 (0.44–4.23)
canal_stenosis,age,0.10484694723784703,0.013753033350377029,7.623550715448002,2.4679127437403992e-14,1.1105406260374542,1.0810048247451407,1.140883420543868,1.11 (1.08–1.14)
canal_stenosis,sex,-0.9506688065564446,0.35927666804251185,-2.646063301956351,0.008143457578613497,0.3864824549981464,0.19112051603326174,0.7815418832136201,0.39 (0.19–0.78)
facet_arthrosis,Intercept,,,,,,,,nan (nan–nan)
facet_arthrosis,C(disc_level)[T.L2-L3],,,,,,,,nan (nan–nan)
facet_arthrosis,C(disc_level)[T.L3-L4],,,,,,,,nan (nan–nan)
facet_arthrosis,C(disc_level)[T.L4-L5],,,,,,,,nan (nan–nan)
facet_arthrosis,C(disc_level)[T.L5-S1],,,,,,,,nan (nan–nan)
facet_arthrosis,age,,,,,,,,nan (nan–nan)
facet_arthrosis,sex,,,,,,,,nan (nan–nan)
